"ntTitle","ntDec","result","tDec","tTitle"
"The A930G polymorphism of P22phox (CYBA) gene but not C242T variation is associated with hypertension: a meta-analysis (Provisional abstract)","Exclude","",,
"Accuracy of electrocardiography in diagnosis of left ventricular hypertrophy in arterial hypertension: systematic review (Structured abstract)","Exclude","","Exclude","Accuracy of electrocardiography in diagnosis of left ventricular hypertrophy in arterial hypertension: systematic review"
"Actualization: radiofrequency sympathetic denervation of the renal arteries for refractory arterial hypertension (Structured abstract)","Exclude","","Exclude","Actualization: radiofrequency sympathetic denervation of the renal arteries for refractory arterial hypertension"
"Acupuncture for hypertension","Exclude","",,
"Acute stroke: evaluation and treatment (Provisional abstract)","Exclude","","Exclude","Acute stroke: evaluation and treatment"
"Additional use of a phosphodiesterase 5 inhibitor in patients with pulmonary hypertension secondary to chronic systolic heart failure: a meta-analysis (Provisional abstract)","Exclude","","Exclude","Additional use of a phosphodiesterase 5 inhibitor in patients with pulmonary hypertension secondary to chronic systolic heart failure: a meta-analysis"
"Adherence to drugs that prevent cardiovascular disease: meta-analysis on 376,162 patients (Structured abstract)","Exclude","","Exclude","Adherence to drugs that prevent cardiovascular disease: meta-analysis on 376,162 patients"
"Adrenergic drugs for urinary incontinence in adults","Exclude","","Exclude","Adrenergic drugs for urinary incontinence in adults"
"Advice to reduce dietary salt for prevention of cardiovascular disease","Exclude","",,
"Agents for pulmonary hypertension (TCR) (Structured abstract)","Exclude","",,
"Alcohol intake reduction for controlling hypertension","Exclude","",,
"Aldosterone antagonists for preventing the progression of chronic kidney disease","Exclude","","Exclude","Aldosterone antagonists for preventing the progression of chronic kidney disease"
"Aliskiren (Rasilez®) for the treatment of essential hypertension (Structured abstract)","Exclude","","Exclude","Aliskiren (Rasilez®) for the treatment of essential hypertension"
"Aliskiren (Structured abstract)","Exclude","",,
"Aliskiren for hypertension: horizon scanning technology briefing (Structured abstract)","Exclude","","Exclude","Aliskiren for hypertension: horizon scanning technology briefing"
"Allied health professional-led interventions for improving control of blood pressure in patients with hypertension","Exclude","",,
"Altered dietary salt intake for preventing and treating diabetic kidney disease","Exclude","","Exclude","Altered dietary salt intake for preventing and treating diabetic kidney disease"
"Ambrisentan (Volibris) for pulmonary arterial hypertension: horizon scanning technology briefing (Structured abstract)","Exclude","","Exclude","Ambrisentan (Volibris) for pulmonary arterial hypertension: horizon scanning technology briefing"
"Ambrisentan (Volibris) in the treatment of pulmonary arterial hypertension (Structured abstract)","Exclude","",,
"Ambrisentan (Volibris®) for pulmonary arterial hypertension (Structured abstract)","Exclude","","Exclude","Ambrisentan (Volibris®) for pulmonary arterial hypertension"
"Ambulatory arterial stiffness index: a systematic review and meta-analysis (Provisional abstract)","Exclude","","Exclude","Ambulatory arterial stiffness index: a systematic review and meta-analysis"
"An analysis comparing open surgical and endovascular treatment of atherosclerotic renal artery stenosis (Structured abstract)","Exclude","","Exclude","An analysis comparing open surgical and endovascular treatment of atherosclerotic renal artery stenosis"
"Analysis of the validation status of quality of life and functional disability measures in pulmonary arterial hypertension related to systemic sclerosis: results of a systematic literature analysis by the expert panel on outcomes measures in pulmonary arterial hypertension related to systemic sclerosis (EPOSS) (Provisional abstract)","Exclude","",,
"Analyzing the short-term effect of placebo therapy in pulmonary arterial hypertension: potential implications for the design of future clinical trials (Structured abstract)","Exclude","","Exclude","Analyzing the short-term effect of placebo therapy in pulmonary arterial hypertension: potential implications for the design of future clinical trials"
"Angiogenesis inhibitors for the treatment of ovarian cancer","Exclude","","Exclude","Angiogenesis inhibitors for the treatment of ovarian cancer"
"Angiogenesis-inhibitors for metastatic thyroid cancer","Exclude","","Exclude","Angiogenesis-inhibitors for metastatic thyroid cancer"
"Angioplasty versus stenting for subclavian artery stenosis","Exclude","","Exclude","Angioplasty versus stenting for subclavian artery stenosis"
"Angiotensin converting enzyme (ACE) gene polymorphism (ACEI/D) in hypertensive adults with ACE inhibitor-induced cough","Exclude","",,
"Angiotensin converting enzyme inhibitor induced angioedema in patients with primary hypertension","Exclude","",,
"Angiotensin converting enzyme inhibitors and angiotensin II receptor antagonists for preventing the progression of diabetic kidney disease","Exclude","","Exclude","Angiotensin converting enzyme inhibitors and angiotensin II receptor antagonists for preventing the progression of diabetic kidney disease"
"Angiotensin converting enzyme inhibitors effect on arterial stiffness and wave reflections: a meta-analysis and meta-regression of randomised controlled trials (Provisional abstract)","Exclude","","Exclude","Angiotensin converting enzyme inhibitors effect on arterial stiffness and wave reflections: a meta-analysis and meta-regression of randomised controlled trials"
"Angiotensin converting enzyme inhibitors effect on endothelial dysfunction: a meta-analysis of randomised controlled trials (Provisional abstract)","Exclude","","Exclude","Angiotensin converting enzyme inhibitors effect on endothelial dysfunction: a meta-analysis of randomised controlled trials"
"Angiotensin receptor 1 (AGTR1) c.*86A>C (1166A>C, A1166C) polymorphism testing for essential hypertension (Structured abstract)","Exclude","",,
"Angiotensin receptor blockers and risk of myocardial infarction: meta-analyses and trial sequential analyses of 147 020 patients from randomised trials (Structured abstract)","Exclude","","Exclude","Angiotensin receptor blockers and risk of myocardial infarction: meta-analyses and trial sequential analyses of 147 020 patients from randomised trials"
"Angiotensin receptor blockers as anti-hypertensive treatment for patients with diabetes mellitus: meta-analysis of controlled double-blind randomized trials (Provisional abstract)","Exclude","","Exclude","Angiotensin receptor blockers as anti-hypertensive treatment for patients with diabetes mellitus: meta-analysis of controlled double-blind randomized trials"
"Angiotensin receptor blockers for prevention of new-onset type 2 diabetes: a meta-analysis of 59,862 patients (Structured abstract)","Exclude","","Exclude","Angiotensin receptor blockers for prevention of new-onset type 2 diabetes: a meta-analysis of 59,862 patients"
"Angiotensin-converting enzyme inhibitors (ACEIs), angiotensin II receptor antagonists (ARBs), and direct renin inhibitors for treating essential hypertension: an update (Structured abstract)","Exclude","",,
"Angiotensin-converting enzyme inhibitors and angiotensin receptor blockers for adults with early (stage 1 to 3) non-diabetic chronic kidney disease","Exclude","","Exclude","Angiotensin-converting enzyme inhibitors and angiotensin receptor blockers for adults with early (stage 1 to 3) non-diabetic chronic kidney disease"
"Angiotensin-converting enzyme inhibitors and angiotensin receptor blockers for preserving residual kidney function in peritoneal dialysis patients","Exclude","","Exclude","Angiotensin-converting enzyme inhibitors and angiotensin receptor blockers for preserving residual kidney function in peritoneal dialysis patients"
"Angiotensin-converting enzyme inhibitors or angiotensin receptor blockers are beneficial in normotensive atherosclerotic patients: a collaborative meta-analysis of randomized trials (Structured abstract)","Exclude","","Exclude","Angiotensin-converting enzyme inhibitors or angiotensin receptor blockers are beneficial in normotensive atherosclerotic patients: a collaborative meta-analysis of randomized trials"
"Angiotensin-converting enzyme inhibitors or angiotensin receptor blockers for prevention of type 2 diabetes: a meta-analysis of randomized clinical trials (Structured abstract)","Exclude","","Exclude","Angiotensin-converting enzyme inhibitors or angiotensin receptor blockers for prevention of type 2 diabetes: a meta-analysis of randomized clinical trials"
"Angiotensin-converting enzyme inhibitors reduce mortality in hypertension: a meta-analysis of randomized clinical trials of renin-angiotensin-aldosterone system inhibitors involving 158 998 patients (Structured abstract)","Exclude","","Exclude","Angiotensin-converting enzyme inhibitors reduce mortality in hypertension: a meta-analysis of randomized clinical trials of renin-angiotensin-aldosterone system inhibitors involving 158 998 patients"
"Antacids for preventing oesophagogastric variceal bleeding and rebleeding in cirrhotic patients","Exclude","","Exclude","Antacids for preventing oesophagogastric variceal bleeding and rebleeding in cirrhotic patients"
"Anti-angiogenic therapies for metastatic colorectal cancer","Exclude","","Exclude","Anti-angiogenic therapies for metastatic colorectal cancer"
"Antiangiogenic therapy for high-grade glioma","Exclude","","Exclude","Antiangiogenic therapy for high-grade glioma"
"Antibiotic prophylaxis for cirrhotic patients with upper gastrointestinal bleeding","Exclude","","Exclude","Antibiotic prophylaxis for cirrhotic patients with upper gastrointestinal bleeding"
"Antibody induction versus corticosteroid induction for liver transplant recipients","Exclude","",,
"Antibody induction versus placebo, no induction, or another type of antibody induction for liver transplant recipients","Exclude","","Exclude","Antibody induction versus placebo, no induction, or another type of antibody induction for liver transplant recipients"
"Anticoagulation in pulmonary arterial hypertension: a qualitative systematic review (Provisional abstract)","Exclude","","Exclude","Anticoagulation in pulmonary arterial hypertension: a qualitative systematic review"
"Antihypertensive agents for children with chronic kidney disease","Exclude","",,
"Antihypertensive agents for preventing diabetic kidney disease","Exclude","","Exclude","Antihypertensive agents for preventing diabetic kidney disease"
"Antihypertensive agents for primary prevention of diabetic nephropathy (Structured abstract)","Exclude","",,
"Antihypertensive classes, cognitive decline and incidence of dementia: a network meta-analysis (Provisional abstract)","Exclude","","Exclude","Antihypertensive classes, cognitive decline and incidence of dementia: a network meta-analysis"
